label,cluster_no
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
maize,3
maize,7
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,7
maize,3
maize,3
maize,4
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
chickpea,0
chickpea,0
chickpea,4
chickpea,0
chickpea,0
chickpea,4
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,4
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,4
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,4
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
